Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
17,Fri,2023-12-15,18:00 (23:00),Al-Raed,0–1,Damac,1453,Prince Abdullah bin Abdul Aziz Stadium,Mohammed Nasser Abu Shaqara,Match Report,
17,Fri,2023-12-15,18:00 (23:00),Al-Hilal,2–0,Al-Wehda,13349,Prince Faisal bin Fahd Stadium,Ismail Elfath,Match Report,
17,Sat,2023-12-16,18:00 (23:00),Al-Riyadh SC,0–1,Al-Khaleej,144,Prince Faisal bin Fahd Stadium,Raed Ali Al Zahrani,Match Report,
17,Sat,2023-12-16,21:00 (02:00),Al-Ettifaq,0–2,Al-Taawoun,5083,Prince Mohammed bin Fahad bin Abdulaziz ...,Shukri Hussein Al Hunfush,Match Report,
,,,,,,,,,,,
18,Thu,2023-12-21,18:00 (23:00),Al-Khaleej,3–0,Al-Fayha,5221,Prince Mohammed bin Fahad bin Abdulaziz ...,Faisal Suleiman Al Balawi,Match Report,
18,Thu,2023-12-21,18:00 (23:00),Damac,3–0,Al-Ta'ee,2707,Damac Club Stadium,Sultan Mohammed Al Akairi,Match Report,
18,Thu,2023-12-21,21:00 (02:00),Al-Hilal,7–0,Abha,13476,Prince Faisal bin Fahd Stadium,Bastian Dankert,Match Report,
18,Fri,2023-12-22,18:00 (23:00),Al-Nassr,3–1,Al-Ettifaq,23774,Al Awwal Park Stadium,Khalid Saleh Al Turais,Match Report,
18,Fri,2023-12-22,18:00 (23:00),Al Okhdood SC,1–0,Al-Shabab,1449,Prince Hathloul bin Abdulaziz Sports Cit...,Andrei Chivulete,Match Report,
18,Fri,2023-12-22,18:00 (23:00),Al-Hazem,0–4,Al-Ahli,1798,Prince Abdullah bin Abdul Aziz Stadium,Juan Gabriel Benítez,Match Report,
18,Sat,2023-12-23,18:00 (23:00),Al-Taawoun,1–3,Al-Fateh,3494,Al Taawoun Stadium,Abdullah Dhafer Al Shehri,Match Report,
